58,22,155,3,46,169,91,134,9,67,130,117,30,15,144,69,16,177,80,23,26,76,42,74,80,161,65,6,148,106,12,23,97,125,36,71,128,174,80,60,19,138,46,135,110,155,48,143,48,160
58,11,60,-20,142,157,73,108,-21,60,108,100,-163,5,107,63,7,-40,70,-167,-168,69,-37,66,69,152,58,-20,56,94,4,-169,91,105,-163,62,106,158,69,103,9,108,144,108,98,61,141,106,143,151
58,13.975,57.499,-22.027,135.1,151.36,76.058,113.62,-26.199,61.818,112.55,108.84,-160.69,9.9587,112.29,62.752,10.636,-27.107,68.76,-164.11,-162.55,66.521,-44.111,65.421,68.669,144.08,60.975,-23.877,48.715,99.139,8.5455,-164.12,90.422,111.69,-158.29,64.066,112.2,155.77,68.587,104.16,11.975,113.95,135.23,113.7,102.54,57.62,135.19,112.69,135.18,143.69
0.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.78752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-1,-1,-1,-1,1,-1,0,0,0,0,1,0,0,1,0,1,-1,0,1,0,-1,1,1,0,1,0,-1,-1,-1,1,1,-1,0,0,-1,0,-1,1,1,0,-1,0,-1,1,-1,0,0,-1,0
1,1,-1,1,-0,1,-1,-1,1,0,-0,0,1,1,1,1,1,-1,0,1,1,-1,1,1,0,1,0,1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,1,-1,-0,-0
-1,-1,-1,-1,-1,-1,-0,-0,-0,-0,-1,-0,-1,-0,-1,-1,1,-1,-0,-0,-1,-0,-0,-0,-0,-1,-0,-1,-1,-1,1,-0,-1,-0,-1,-0,-0,-1,-0,-0,-0,-1,-1,-1,-1,-1,-1,-0,-1,-1
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
