5,166,148,27,55,61,55,36,20,48,168,124,132,172,97,149,24,12,68,154,168,71,131,29,97,143,78,160,104,124,122,4,36,62,17,111,110,70,146,110,14,159,55,132,105,20,41,171,159,152,163,161,144,32,68,49,125,68,63,120,95,127,62,108,178,76,177,74,87,40
5,48,82,-17,280,260,274,-24,-9,280,40,128,114,34,192,84,-12,-2,248,74,42,248,132,-17,186,96,232,58,178,132,132,34,-27,256,-5,158,164,252,92,160,-2,60,284,126,172,-11,-33,40,60,74,50,56,92,-22,246,-32,130,244,258,132,186,132,258,172,22,230,22,230,206,-29
5,33.835,74.659,-19.31,215.62,142.27,215.93,-29.302,-13.203,216.27,30.57,131.49,118.39,25.045,6.7484,74.391,-16.394,-6.6661,128.23,73.33,30.762,125.43,125.14,-21.649,6.7229,106.53,94.206,51.804,156.56,131.56,133.16,17.935,-28.836,141.77,-10.467,151.38,152.01,126.05,105.94,152,-8.0753,52.629,216.09,124.79,155.27,-13.263,-33.195,25.588,53.184,73.735,46.104,51.4,106.3,-24.554,128.03,-36.001,131,127.62,141.25,134.33,8.3766,129.99,142.01,153.23,16.411,95.415,16.859,96.869,39.611,-32.5
1.0497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,-1,1,-1,-1,0,1,-1,1,0,-1,-1,-1,0,0,1,-1,-1,1,0,-1,1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,-1,1,1,0,1,-1,0,1,-1,1,0,0,0,-1,0,1,0,0,-1,-1,0,1,-1,1,0,-1,0,1,-1,-1,0,-1,1,-1
1,-0,-0,1,-0,1,-0,0,1,1,-1,1,-0,-1,-1,-1,1,1,1,-1,-1,1,-0,0,1,-1,-1,-1,-0,1,1,1,0,-0,1,-0,-1,1,0,-0,1,-1,1,0,-1,1,1,-0,-0,-1,-0,1,-0,1,-1,0,-0,1,-0,0,-0,-1,1,1,-1,-1,0,-1,1,0
-0,-0,-0,-1,-1,-0,-1,-1,-1,-0,-0,-0,-0,-0,-0,-0,-1,-1,-0,-0,-0,-0,-0,-1,-0,-0,-0,-0,-0,-0,-0,-0,-1,-1,-1,-0,-0,-0,1,-0,-0,-0,-1,1,-0,-0,-1,-0,-0,-0,-0,-0,-0,-1,-0,-1,-0,-0,-1,1,-0,-0,-1,-0,-0,-0,-0,-0,-0,-1
-0,1,1,-1,-1,-1,-1,-0,-0,-1,1,1,1,-0,-0,1,-0,-0,-1,-0,1,-1,1,-1,-0,1,-1,-0,1,-0,-0,-0,-0,-1,-0,-0,-0,-1,1,-0,-0,-0,-1,1,1,-0,-0,-0,-0,-0,-0,-0,1,-1,-1,-0,1,-1,-1,-0,-0,1,-1,-0,-0,-1,-0,-1,-0,-0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
