65,160,53,35,23,58,114,145,53,77,88,51,139,97,42,151,24,68,47,65,29,91,52,96,110,79,101,17,58,135,103,93,65,39,123,134,127,135,102,151,87,73,97,116,166,177,55,104,150,102,59,128,1,79,69,64,69,149,91,16,2,96,67,70,79,121,168,162,115,0,74,144,145,99,109,10,133,99,133,57,92,110,166,25,50,159,171,178,89,67,66,151,92,123,71,33,86,150,98,90
65,63,74,-178,-163,161,106,75,165,143,133,166,84,122,-180,69,-163,151,-12,154,-167,132,165,130,106,141,118,21,71,86,117,129,154,-176,97,86,96,83,115,70,134,147,127,105,55,49,163,115,71,119,70,91,48,141,150,69,152,72,124,-157,-143,123,152,149,143,98,54,59,103,-136,146,77,77,123,110,-149,89,120,87,71,126,108,55,-166,169,64,50,42,131,154,154,71,131,95,148,-172,132,156,122,123
65,64.9,70.1,-161.81,-151.31,156.9,119.19,75.4,160.9,149.1,134.25,161.9,79.9,131.19,-163.81,74.3,-151.41,154.4,-16.1,154.7,-154.11,134.19,160.9,131.19,121.89,149.1,129.19,29.194,70.3,81.9,129.19,133.11,154.5,-159.81,113.19,81.9,112.19,78.9,128.89,71.7,133.13,149.1,131.09,117.29,56.1,48.9,159.1,128.79,74.6,129.39,70.1,107.19,45.194,149,153.7,65,153.7,74.6,134.29,-150.11,-134.91,131.19,154.4,153.2,149,114.19,55.4,59.8,119.19,-134.71,149.1,75.7,75.7,130.19,126.19,-142.71,84.9,129.89,82.9,70.6,133.29,124.19,56.1,-151.71,164.9,64.9,54.3,45.094,134.54,154.4,154.4,74.3,133.29,111.19,149.5,-155.81,134,154.4,130.49,134.29
0.87805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.85199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,1,1,1,0,1,0,-1,1,-1,1,1,1,1,-1,0,0,0,1,0,0,-1,1,-1,1,-1,0,-1,1,1,-1,-1,0,0,-1,0,1,1,0,1,1,-1,1,1,-1,1,1,-1,1,-1,0,-1,-1,0,-1,0,-1,-1,1,0,1,-1,-1,1,1,1,-1,1,0,1,0,0,0,0,1,1,0,1,-1,0,-1,1,1,1,0,0,-1,1,0,0,0,0,1,0,1,-1,0,1,-1,1
-0,1,1,1,1,1,-0,-1,1,-1,1,1,1,1,0,-0,1,1,1,1,1,-1,1,-1,1,-1,-0,1,1,1,-1,-1,0,1,-1,-0,1,1,-0,1,1,-1,1,1,-1,1,1,-1,1,-1,1,-1,1,0,-1,1,-0,-1,1,1,1,-1,-1,1,1,1,-1,1,-0,1,0,-0,-0,-0,1,1,-0,1,-1,1,-1,1,1,1,1,-0,-1,1,0,1,1,-0,1,-1,1,0,-0,1,-1,1
-0,-0,1,-0,-1,-0,-0,-0,-0,-0,-0,-0,-0,-0,-1,-0,-1,-1,-0,-1,-1,-0,-0,-0,-0,-0,-0,-1,1,-0,-0,-0,-0,-1,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-1,-0,-0,-1,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-1,-0,-0,-0,-0,-1,-1,-0,-0,1,-0,-1,-0,-1,-0,-0
1,1,1,-1,-1,-1,-1,1,-1,-0,-0,-1,1,-0,-1,1,-1,-1,1,-1,-1,-0,-1,-0,-0,-0,-1,1,1,1,-1,-0,-1,-1,1,1,1,1,-1,1,-0,-0,-0,-0,1,1,-1,-1,1,-1,1,1,1,-0,-1,1,-0,1,-0,-1,-1,-0,-1,-1,-0,-0,1,1,-1,-1,-0,1,1,-0,-0,-1,1,-0,1,1,-0,-0,1,-1,-0,1,1,1,-0,-1,-1,1,-0,1,-0,-1,-0,-1,-0,-0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
