0,3,15,22,29,34,39,47,58,67,68,85,87,95,101,115,116,131,134,138,148,161
0,54781,1.5694e+05,1.9082e+05,2.1135e+05,2.1363e+05,2.1117e+05,2.0849e+05,2.1268e+05,2.1939e+05,2.1938e+05,2.1262e+05,2.124e+05,2.1427e+05,2.2301e+05,2.5433e+05,2.5582e+05,2.6273e+05,2.6262e+05,2.6159e+05,2.5733e+05,2.203e+05
54781,0,1.2791e+05,1.6576e+05,1.8853e+05,1.9115e+05,1.8857e+05,1.8692e+05,1.9492e+05,2.0338e+05,2.0355e+05,1.987e+05,1.9992e+05,2.0016e+05,2.0783e+05,2.4142e+05,2.4306e+05,2.4849e+05,2.4777e+05,2.463e+05,2.4084e+05,1.9962e+05
1.5694e+05,1.2791e+05,0,62709,97001,1.0129e+05,1.0355e+05,1.1318e+05,1.3939e+05,1.5669e+05,1.5717e+05,1.732e+05,1.7977e+05,1.8035e+05,1.8007e+05,2.1158e+05,2.1258e+05,2.0401e+05,2.0019e+05,1.9477e+05,1.8219e+05,1.2398e+05
1.9082e+05,1.6576e+05,62709,0,47695,57980,70609,93584,1.2824e+05,1.4959e+05,1.5025e+05,1.7547e+05,1.835e+05,1.8593e+05,1.8368e+05,2.0892e+05,2.0934e+05,1.9281e+05,1.8684e+05,1.7805e+05,1.5841e+05,1.0006e+05
2.1135e+05,1.8853e+05,97001,47695,0,31643,60669,93062,1.2817e+05,1.5329e+05,1.5427e+05,1.8284e+05,1.9076e+05,1.9132e+05,1.8698e+05,2.0712e+05,2.0703e+05,1.885e+05,1.8215e+05,1.7206e+05,1.4933e+05,98966
2.1363e+05,1.9115e+05,1.0129e+05,57980,31643,0,37069,76714,1.1816e+05,1.4877e+05,1.5024e+05,1.7773e+05,1.8555e+05,1.8451e+05,1.7816e+05,1.9643e+05,1.9639e+05,1.7736e+05,1.7065e+05,1.6013e+05,1.4012e+05,98632
2.1117e+05,1.8857e+05,1.0355e+05,70609,60669,37069,0,51205,1.0405e+05,1.3866e+05,1.4059e+05,1.6773e+05,1.7524e+05,1.7109e+05,1.6233e+05,1.8063e+05,1.8077e+05,1.6143e+05,1.5507e+05,1.45e+05,1.3021e+05,97896
2.0849e+05,1.8692e+05,1.1318e+05,93584,93062,76714,51205,0,74420,1.1291e+05,1.1512e+05,1.4538e+05,1.5287e+05,1.4429e+05,1.3087e+05,1.4859e+05,1.4929e+05,1.3165e+05,1.268e+05,1.2005e+05,1.1582e+05,96632
2.1268e+05,1.9492e+05,1.3939e+05,1.2824e+05,1.2817e+05,1.1816e+05,1.0405e+05,74420,0,55223,59140,1.1196e+05,1.2161e+05,1.1066e+05,92020,1.0458e+05,1.0524e+05,1.0066e+05,97288,91394,97330,1.076e+05
