29,53,110,67,110,53,115,145,101,166,97,70,37,53,30,59,147,67,145,104,91,1,0,69,17,121,64,9,71,173,157,3,8,147,107,146,160,115,141,99,128,18,72,101,13,154,56,151,126,92,178,55,168,45,48,170,11,152,177,47,31,153,168,76,111,86,18,54,28,74,136,67,40,130,0,81,63,121,110,1,138,88,57,43,20,138,131,81,163,105,173,169,157,160,44,158,21,142,47,178
-165,170,116,157,116,170,112,83,124,60,129,155,-178,171,-165,164,80,158,82,121,137,-135,-136,158,-150,104,161,-144,153,51,69,-136,-144,80,118,82,66,112,85,127,96,-152,153,125,-145,72,169,75,97,131,46,172,57,179,176,55,-145,75,49,-178,-168,74,58,149,114,141,-153,168,-163,152,96,160,-175,98,-130,143,161,104,117,-135,94,142,168,-178,-155,89,95,144,62,121,54,56,70,67,-178,68,-157,84,177,48
-36.306,-40.969,-39.51,-40.084,-37.799,-29.561,-28.047,-28.792,27.149,22.713,21.89,20.47,20.471,19.632,16.744,14.934,13.15,12.463,7.5895,8.4317,7.7007,7.7555,7.703,187.97,187.99,188.48,191.73,191.47,193.86,194.76,195.47,195.78,197.95,201,205.41,205.49,207.59,209.09,208.96,212.4,213.54,215.97,214.93,223.42,223.49,224.51,224.16,224.56,227.83,228.7,229.99,230.03,233.22,234.52,230.85,235.54,233.57,237.8,237.75,302.69,303.06,301.43,301.03,300.91,301.08,298.04,290.51,291.5,287.5,287.59,286.06,284.3,280.91,280.78,281.72,280.94,286.42,286.07,290.26,291.86,293.99,293.42,294.76,297.28,297.29,295.79,297.29,321.43,321.11,318.8,317.88,318.39,317.89,317.92,318.07,317.69,318.05,318.72,319.06,319.39
