5,19,20,26,32,42,49,53,59,60,62,63,65,68,72,75,77,80,82,85,86,95,97,104,110,113,119,134,156,172,179
0,1.3219e+05,1.3763e+05,1.6376e+05,1.7519e+05,1.7099e+05,1.7288e+05,1.7619e+05,1.8385e+05,1.8538e+05,1.8809e+05,1.8923e+05,1.9103e+05,1.9233e+05,1.9181e+05,1.9072e+05,1.899e+05,1.8896e+05,1.8907e+05,1.9067e+05,1.9183e+05,1.9229e+05,1.9248e+05,2.059e+05,2.221e+05,2.2904e+05,2.3804e+05,2.3762e+05,2.0719e+05,1.4006e+05,1.2532e+05
1.3219e+05,0,10672,55965,73299,87486,1.035e+05,1.1403e+05,1.3468e+05,1.3836e+05,1.4415e+05,1.4625e+05,1.4917e+05,1.5152e+05,1.521e+05,1.5323e+05,1.5492e+05,1.593e+05,1.6379e+05,1.7293e+05,1.7662e+05,1.8299e+05,1.8059e+05,1.8579e+05,2.0034e+05,2.0654e+05,2.0949e+05,1.9114e+05,1.4018e+05,1.1522e+05,1.4916e+05
1.3763e+05,10672,0,48233,66973,83983,1.0155e+05,1.1241e+05,1.3349e+05,1.3729e+05,1.4329e+05,1.4544e+05,1.4844e+05,1.5079e+05,1.5162e+05,1.5289e+05,1.5473e+05,1.5936e+05,1.6409e+05,1.7357e+05,1.7734e+05,1.8392e+05,1.8144e+05,1.8635e+05,2.0053e+05,2.0654e+05,2.0896e+05,1.8944e+05,1.3715e+05,1.1695e+05,1.5248e+05
1.6376e+05,55965,48233,0,33319,75832,1.0063e+05,1.1194e+05,1.3264e+05,1.3654e+05,1.4324e+05,1.4584e+05,1.4953e+05,1.526e+05,1.5482e+05,1.5676e+05,1.5918e+05,1.647e+05,1.7019e+05,1.808e+05,1.8475e+05,1.9022e+05,1.8725e+05,1.9066e+05,2.0286e+05,2.075e+05,2.0713e+05,1.8455e+05,1.2623e+05,1.3318e+05,1.7239e+05
1.7519e+05,73299,66973,33319,0,64262,92729,1.0501e+05,1.2758e+05,1.3189e+05,1.3939e+05,1.4261e+05,1.4802e+05,1.5294e+05,1.5577e+05,1.5732e+05,1.5933e+05,1.6486e+05,1.7049e+05,1.8095e+05,1.848e+05,1.8846e+05,1.848e+05,1.8604e+05,1.9729e+05,2.0097e+05,1.9983e+05,1.7626e+05,1.2242e+05,1.4059e+05,1.8089e+05
1.7099e+05,87486,83983,75832,64262,0,45223,65833,1.0006e+05,1.056e+05,1.1496e+05,1.188e+05,1.2533e+05,1.3261e+05,1.3757e+05,1.3946e+05,1.4121e+05,1.4567e+05,1.5058e+05,1.6021e+05,1.6382e+05,1.6136e+05,1.5566e+05,1.526e+05,1.6298e+05,1.6754e+05,1.6895e+05,1.4467e+05,1.1003e+05,1.358e+05,1.7241e+05
1.7288e+05,1.035e+05,1.0155e+05,1.0063e+05,92729,45223,0,30499,71625,77958,88246,92274,98922,1.0667e+05,1.1449e+05,1.1802e+05,1.1989e+05,1.2404e+05,1.2888e+05,1.3881e+05,1.4258e+05,1.3741e+05,1.3015e+05,1.2353e+05,1.3193e+05,1.3677e+05,1.407e+05,1.1973e+05,1.027e+05,1.3547e+05,1.6984e+05
1.7619e+05,1.1403e+05,1.1241e+05,1.1194e+05,1.0501e+05,65833,30499,0,48509,55359,66184,70368,77506,86920,95834,1.0024e+05,1.0285e+05,1.0824e+05,1.1403e+05,1.252e+05,1.2936e+05,1.2371e+05,1.1557e+05,1.0761e+05,1.1538e+05,1.1932e+05,1.2324e+05,1.0642e+05,1.0141e+05,1.3823e+05,1.7118e+05
1.8385e+05,1.3468e+05,1.3349e+05,1.3264e+05,1.2758e+05,1.0006e+05,71625,48509,0,10350,23997,29871,40914,54797,68576,76605,81364,89582,96946,1.1029e+05,1.1512e+05,1.0902e+05,99672,90057,97296,1.0077e+05,1.0483e+05,97261,1.0814e+05,1.4842e+05,1.7882e+05
