174,69,80,150,75,48,149,137,134,46,149,17,70,27,133,97,34,132,173,101,10,126,161,167,167,68,115,169,42,67,51,128,155,30,131,145,151,26,174,155,112,56,156,27,0,68,57,86,135,88
174,67,78,149,72,46,148,137,127,44,147,17,68,27,122,97,33,125,171,102,11,123,160,164,165,66,113,166,44,65,48,124,155,33,129,143,150,25,170,153,110,55,156,26,-7,67,56,80,126,83
174,68.99,80.087,150.03,74.771,48.128,148.95,137.3,133.66,45.629,148.81,16.768,70.143,26.55,132.85,97.039,33.446,132.14,173.11,100.89,10.059,125.93,160.91,167.12,166.93,67.952,115.75,169.31,41.587,67.349,50.975,128.18,154.83,29.534,130.93,144.86,150.8,25.63,174.02,154.7,112.3,56.164,155.84,26.808,-0.34332,68.252,57.218,86.218,134.82,87.953
0.029918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0022274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
