5,18,25,26,6,14,2,4,11,30,29,1,7,28,16,17,19,12,0,34,70,53,67,56,57,49,58,63,64,59,52,55,71,45,43,39,38,36,60,48,46,44,68,65,54,62,50,42,66,69,92,84,83,80,90,94,81,105,99,91,102,107,121,110,116,159,149,146,172,151,167,144,161,148,169,168,162,178,155,170,154,166,175,163,177,147,179,160,176,164,152,145,171,158,174,156,150,173,165,157
0,31758,41963,43396,5174.1,25248,14520,5551.4,19683,48895,47532,17803,9259.3,46172,28600,30207,33263,21662,20438,54565,1.2339e+05,82490,1.1363e+05,87463,89381,77126,91392,1.0269e+05,1.0524e+05,93481,81046,85683,1.2693e+05,72430,69539,62734,61027,57665,95646,75944,73659,71041,1.1673e+05,1.079e+05,84034,1.0024e+05,78376,67908,1.107e+05,1.1999e+05,1.5701e+05,1.7225e+05,1.701e+05,1.5982e+05,1.6372e+05,1.5029e+05,1.6331e+05,1.158e+05,1.3449e+05,1.6052e+05,1.2479e+05,1.1048e+05,91541,1.0396e+05,96057,43771,49650,52450,40485,48086,41143,54815,43036,50523,40759,40940,42692,44997,45585,40612,46140,41392,41109,42346,43366,51448,46731,43395,42012,42011,47389,53556,40515,44158,40669,45066,48841,40509,41687,44585
31758,0,18260,20215,29784,12316,37132,33625,19309,27401,25672,38794,27723,23914,6667.7,3469.2,3379.7,17099,40390,34320,1.1644e+05,69104,1.0545e+05,75061,77334,62573,79708,92905,95851,82162,67352,72946,1.204e+05,56548,52695,44158,42061,37949,84699,61105,58163,54706,1.0896e+05,98918,70968,90064,64099,50568,1.0212e+05,1.1263e+05,1.5506e+05,1.7025e+05,1.6783e+05,1.5666e+05,1.619e+05,1.4802e+05,1.6045e+05,1.0872e+05,1.3011e+05,1.5863e+05,1.1905e+05,1.0256e+05,80689,94907,85561,39337,39715,41639,54241,38881,47398,43427,40674,40253,50044,48713,41535,62810,38273,51416,38290,46090,58580,42515,61429,40902,64150,39948,60015,43613,38595,42458,52815,38853,57132,38330,39260,55683,44817,38511
41963,18260,0,3300.2,40245,25960,46799,43622,31271,14011,11562,48337,38447,8950.4,22268,20306,16145,29527,49853,22770,1.1277e+05,61877,1.0113e+05,68408,70868,54386,73442,87697,90860,76105,59899,66112,1.1693e+05,47297,42876,33710,31437,26930,78854,52658,49205,45155,1.0486e+05,94145,63945,84647,56170,40563,97565,1.0875e+05,1.5302e+05,1.6836e+05,1.6591e+05,1.545e+05,1.5992e+05,1.459e+05,1.5839e+05,1.0525e+05,1.2762e+05,1.5661e+05,1.1611e+05,98708,75013,90512,80389,46419,36342,36683,63321,37223,56751,37834,49151,36235,59322,58025,50458,71266,41080,60636,39936,55490,67382,51727,70000,36350,72496,47803,68701,52982,37974,37168,61965,45007,66045,42307,36678,64687,54236,43625
43396,20215,3300.2,0,41704,27659,48168,45029,32852,11553,8938.7,49710,39941,6184.8,24069,22174,18201,31140,51228,20860,1.1218e+05,60780,1.0045e+05,67433,69923,53123,72523,86925,90110,75215,58759,65104,1.1636e+05,45868,41377,32104,29778,25160,77997,51359,47819,43687,1.042e+05,93419,62893,83848,54944,39046,96863,1.0812e+05,1.5261e+05,1.68e+05,1.6555e+05,1.5409e+05,1.5953e+05,1.4547e+05,1.5799e+05,1.0461e+05,1.2712e+05,1.5622e+05,1.1554e+05,98016,74052,89738,79505,47742,36344,36132,64512,37625,57990,37042,50461,36027,60544,59255,51752,72357,42121,61849,40834,56736,68527,53008,71109,35953,73570,49126,69831,54251,38556,36488,63168,46303,67207,43462,36886,65865,55494,44867
5174.1,29784,40245,41704,0,22957,17233,9779.9,16951,47281,45908,20038,4857.4,44527,26493,28171,31345,19102,22398,52999,1.2264e+05,81327,1.1279e+05,86370,88309,75863,90337,1.0174e+05,1.0432e+05,92445,79860,84563,1.262e+05,71077,68131,61247,59522,56121,94634,74659,72328,69663,1.1592e+05,1.0701e+05,82891,99275,77135,66469,1.0983e+05,1.1921e+05,1.569e+05,1.7199e+05,1.6979e+05,1.594e+05,1.6362e+05,1.5006e+05,1.6293e+05,1.1502e+05,1.339e+05,1.6041e+05,1.2408e+05,1.0965e+05,90608,1.0306e+05,95084,43158,48765,51529,40311,47240,40728,53871,42471,49622,40396,40552,42148,46536,44861,40274,45379,40947,41987,41826,44836,50538,48204,42806,43292,41508,46567,52621,40227,43519,41074,44373,47975,40558,41210,43918
25248,12316,25960,27659,22957,0,31296,27378,10218,34136,32549,33108,20567,30954,6834.7,9716.9,14630,7119.4,34798,40582,1.1819e+05,72924,1.0754e+05,78538,80688,66807,82934,95497,98312,85263,71276,76537,1.2203e+05,61333,57877,49911,47926,44042,87684,65453,62783,59687,1.1093e+05,1.0125e+05,74674,92793,68228,55922,1.0433e+05,1.1449e+05,1.5578e+05,1.7084e+05,1.6844e+05,1.574e+05,1.626e+05,1.4876e+05,1.6113e+05,1.104e+05,1.3108e+05,1.5934e+05,1.2032e+05,1.0451e+05,83717,97228,88360,39235,42447,44676,48685,41347,42135,46714,39189,43100,44499,43254,39297,57552,39946,45838,40213,41187,53166,39525,56124,43846,58941,39181,54663,39896,40904,45611,47241,39345,51651,39700,41870,50156,40446,39490
14520,37132,46799,48168,17233,31296,0,11156,26654,53591,52230,7592.9,19505,50876,34276,35718,38528,28258,12496,59103,1.2589e+05,86173,1.1637e+05,90900,92747,81134,94688,1.0567e+05,1.0816e+05,96709,84808,89195,1.2936e+05,76631,73785,67102,65414,62130,98811,80023,77835,75262,1.1938e+05,1.1077e+05,87631,1.0329e+05,82300,72196,1.1351e+05,1.2256e+05,1.576e+05,1.7344e+05,1.7138e+05,1.614e+05,1.6393e+05,1.5169e+05,1.648e+05,1.1846e+05,1.367e+05,1.6079e+05,1.2725e+05,1.1324e+05,94357,1.0689e+05,99011,45694,52363,55244,41450,50709,42522,57695,44791,53253,41973,42240,44383,41254,47891,41748,48528,42847,41227,43976,41168,54204,42060,45227,41187,43582,49942,56399,41570,46176,41286,47280,51518,41356,43206,46702
5551.4,33625,43622,45029,9779.9,27378,11156,0,22213,50474,49111,15156,13130,47761,30584,32131,35082,24029,18229,56099,1.2419e+05,83683,1.145e+05,88578,90474,78427,92465,1.0366e+05,1.0619e+05,94531,82262,86823,1.277e+05,73814,70956,64207,62508,59179,96673,77267,75026,72440,1.1758e+05,1.0883e+05,85202,1.0123e+05,79650,69348,1.116e+05,1.2081e+05,1.5713e+05,1.7256e+05,1.7046e+05,1.6028e+05,1.6379e+05,1.5062e+05,1.6374e+05,1.1664e+05,1.3515e+05,1.606e+05,1.2556e+05,1.1136e+05,92476,1.049e+05,97039,44395,50550,53375,40786,48943,41581,55763,43610,51432,41142,41349,43247,43459,46336,40970,46923,41862,40799,42879,42033,52364,45185,43994,41154,42523,48225,54493,40845,44809,40720,45779,49720,40743,42182,45267
19683,19309,31271,32852,16951,10218,26654,22213,0,38955,37470,28644,14077,35968,15121,17289,21204,3918,30477,45046,1.1959e+05,75845,1.0926e+05,81229,83296,69955,85465,97570,1.003e+05,87711,74261,79309,1.2333e+05,64729,61482,53962,52079,48382,90031,68657,66117,63173,1.1254e+05,1.0315e+05,77525,94950,71326,59652,1.0614e+05,1.1599e+05,1.5621e+05,1.711e+05,1.6875e+05,1.5795e+05,1.6298e+05,1.4922e+05,1.616e+05,1.1183e+05,1.3184e+05,1.5974e+05,1.214e+05,1.0614e+05,86126,99137,90634,40390,44586,47066,44408,43332,39772,49282,39981,45323,40926,40242,39784,53532,41535,41865,41909,39499,48866,39604,52018,46147,54988,40181,50456,39464,42805,48093,43054,40613,47319,41185,43933,45836,39416,40865
