47,75,150,89,75,73,137,154,12,89,174,106,144,61,146,55,37,103,117,82,124,9,149,16,81,74,56,100,174,154,62,85,8,24,177,73,173,143,68,20,77,37,40,77,149,127,87,62,52,140,13,38,29,51,64,100,159,99,10,116,46,92,174,65,97,166,89,138,60,82,155,141,170,35,87,52,121,129,83,107
47,18,-54,10,22,24,-39,-57,-73,5,-76,-10,-47,-55,-49,38,-138,-7,-22,14,-27,-190,-52,-198,12,22,40,-3,-80,-57,-55,7,-182,-210,-84,23,-82,-47,27,-202,20,-236,58,17,-52,-36,8,36,43,-42,-194,59,-222,43,-56,-5,-62,-2,-190,-20,-125,2,-78,29,3,-70,7,-39,34,11,-58,-43,-74,-236,11,46,-26,-37,13,-9
47,16.77,-56.232,2.676,16.77,18.954,-44.099,-61.013,-78.685,2.758,-85.097,-14.148,-50.868,-62.849,-52.572,35.667,-149.08,-10.532,-30.831,9.9393,-36.277,-10.76,-55.435,-20.853,10.954,17.832,35.086,-6.9283,-85.012,-60.713,-63.232,6.7969,-9.1753,-32.373,-89.294,18.932,-83.87,-49.81,23.511,-26.772,15.094,-124.55,52.893,14.994,-55.429,-38.678,4.6545,29.105,39.688,-46.039,-16.887,54.697,-131.14,41,-64.152,-6.8831,-67.375,-5.8244,-12.366,-30.115,-136.25,3.3393,-85.454,26.251,-3.7064,-76.362,2.7145,-44.543,30.346,9.8545,-61.592,-47.363,-80.828,-126.05,4.7969,39.646,-33.68,-39.766,9.0969,-15.05
1.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,1,1,1,0,0,-1,1,1,0,-1,-1,-1,0,-1,0,-1,1,1,1,0,-1,0,1,1,0,-1,-1,0,-1,0,-1,1,1,-1,1,0,1,1,-1,1,0,1,-1,1,0,0,0,-1,1,-1,1,1,-1,1,-1,-1,0,0,1,-1,1,1,1,0,-1
1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,1,-0,-0,1,1,1,-0,0,-1,1,1,1,-1,-1,-0,-0,-1,-0,-0,1,1,1,0,-1,-0,1,1,1,-1,0,1,-1,-0,-1,1,1,-0,1,1,1,1,-0,1,-0,1,-1,1,-0,1,-0,-1,1,-1,1,1,-1,1,-1,-1,-0,-0,1,-1,1,0,1,0,-1
-1,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-1,-0,-0,-1,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-1,-0,-1,-1,-0,-0,-0,-0,-0,-1,-0,-1,-0,-0,-1,1,-0,-0,-0,-0,-0,-1,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1,-0,-0,-0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
