156,22,135,25,13,51,145,96,94,112,1,29,145,139,127,41,78,53,113,45,157,35,131,143,15,58,81,55,40,151
156,-68,12,-71,-57,164,168,74,80,42,-49,-75,168,176,20,188,106,156,44,178,157,200,6,170,-60,150,102,160,194,163
156,-58.543,22.757,-58.443,-59.571,155,159.8,78.257,81.88,43,-47.307,-61.043,159.7,167,24.357,43.914,109.89,151.8,44.1,169,156.1,51.114,19.957,161,-59.018,150.9,106.96,151.4,49.714,155.9
0.90603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.69869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
