4,10,12,15,16,19,22,30,33,34,35,45,51,52,57,67,70,73,77,78,80,85,89,92,97,105,107,129,137,140,162
0,78473,95309,1.1702e+05,1.2372e+05,1.4175e+05,1.5642e+05,1.8171e+05,1.8325e+05,1.8297e+05,1.8251e+05,1.7858e+05,1.8133e+05,1.8211e+05,1.8714e+05,1.9756e+05,1.9762e+05,1.967e+05,1.949e+05,1.9443e+05,1.9368e+05,1.9433e+05,2.0071e+05,1.9882e+05,1.9657e+05,2.1289e+05,2.183e+05,2.4412e+05,2.4116e+05,2.4032e+05,1.8766e+05
78473,0,25173,56330,64967,87023,1.0514e+05,1.3561e+05,1.3725e+05,1.3707e+05,1.3688e+05,1.3805e+05,1.4413e+05,1.455e+05,1.5475e+05,1.7073e+05,1.7166e+05,1.714e+05,1.7101e+05,1.7115e+05,1.7193e+05,1.7929e+05,1.9046e+05,1.8839e+05,1.8085e+05,1.9402e+05,1.9968e+05,2.2032e+05,2.1423e+05,2.1183e+05,1.4729e+05
95309,25173,0,35199,44903,68928,88403,1.2075e+05,1.2248e+05,1.2246e+05,1.2244e+05,1.2627e+05,1.3363e+05,1.3525e+05,1.4631e+05,1.643e+05,1.6525e+05,1.6523e+05,1.6545e+05,1.6582e+05,1.6721e+05,1.7629e+05,1.8866e+05,1.8683e+05,1.789e+05,1.9063e+05,1.9621e+05,2.1405e+05,2.065e+05,2.0358e+05,1.349e+05
1.1702e+05,56330,35199,0,12464,41086,62687,98872,1.0107e+05,1.0129e+05,1.0146e+05,1.0986e+05,1.2042e+05,1.2257e+05,1.362e+05,1.5669e+05,1.5758e+05,1.5773e+05,1.5909e+05,1.5982e+05,1.6201e+05,1.7323e+05,1.8762e+05,1.8647e+05,1.7827e+05,1.8796e+05,1.9338e+05,2.064e+05,1.9608e+05,1.9221e+05,1.1818e+05
1.2372e+05,64967,44903,12464,0,31417,53985,91696,94190,94446,94720,1.0504e+05,1.1686e+05,1.1916e+05,1.3342e+05,1.5477e+05,1.5565e+05,1.5582e+05,1.5758e+05,1.5846e+05,1.6088e+05,1.7271e+05,1.8772e+05,1.8686e+05,1.786e+05,1.8756e+05,1.9282e+05,2.0431e+05,1.9304e+05,1.8871e+05,1.1335e+05
1.4175e+05,87023,68928,41086,31417,0,27686,70638,74004,74706,75652,93516,1.0848e+05,1.1121e+05,1.2717e+05,1.5097e+05,1.5193e+05,1.5232e+05,1.5492e+05,1.5613e+05,1.593e+05,1.7293e+05,1.893e+05,1.8905e+05,1.8059e+05,1.8786e+05,1.926e+05,1.9961e+05,1.8539e+05,1.7979e+05,1.019e+05
1.5642e+05,1.0514e+05,88403,62687,53985,27686,0,50985,56498,57987,59845,87351,1.0496e+05,1.0778e+05,1.2439e+05,1.4959e+05,1.5108e+05,1.5194e+05,1.5536e+05,1.5677e+05,1.6039e+05,1.7548e+05,1.9231e+05,1.9215e+05,1.8329e+05,1.8967e+05,1.9406e+05,1.9653e+05,1.8027e+05,1.7361e+05,95002
1.8171e+05,1.3561e+05,1.2075e+05,98872,91696,70638,50985,0,20921,27383,34122,83822,1.0411e+05,1.0704e+05,1.2314e+05,1.5315e+05,1.558e+05,1.5737e+05,1.6089e+05,1.624e+05,1.6644e+05,1.827e+05,1.9887e+05,1.979e+05,1.8744e+05,1.9114e+05,1.9499e+05,1.9082e+05,1.7298e+05,1.6534e+05,95842
1.8325e+05,1.3725e+05,1.2248e+05,1.0107e+05,94190,74004,56498,20921,0,8731.7,17182,73033,95311,98523,1.1649e+05,1.5038e+05,1.5363e+05,1.5507e+05,1.5803e+05,1.595e+05,1.6349e+05,1.795e+05,1.9557e+05,1.9425e+05,1.8285e+05,1.853e+05,1.8915e+05,1.8409e+05,1.6573e+05,1.5802e+05,95889
